Employee Name,Employee Number,DOB,Sex,Date of Hire,Date of Termination,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score,Degree,Pay Grade,Communication-Before,Communication-After,Communication Traning,Leadership - Before,Leadership - After,Leadership Development,Mentoring Role,Engagement Score,IQ,Management
"Brown, Mia",1103024456,1985/11/24,Female,2008/10/27,,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Social Media,Needs Improvement,Bachelor,2,1.93,1.91,No,,,,Mentee,3.19 ,110,No
"LaRotonda, William  ",1106026572,1984/4/26,Male,01/06/2014,,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Website,Fully Meets,Bachelor,2,2.36,2.48,No,,,,Mentee,3.45 ,134,No
"Steans, Tyrone  ",1302053333,1986/9/1,Male,09/29/2014,,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Social Media,Fully Meets,Master,2,2.34,2.46,No,,,,Mentee,3.42 ,138,No
"Howard, Estelle",1211050782,1985/9/16,Female,02/16/2015,,N/A - still employed,Active,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Job Fair,N/A- too early to review,Bachelor,1,,,,,,,Mentee,,94,No
"Singh, Nan ",1307059817,1988/5/19,Female,05/01/2015,,N/A - still employed,Active,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Website,N/A- too early to review,Associate,1,,,,,,,Mentee,,107,No
"Smith, Leigh Ann",711007713,1987/6/14,Female,09/26/2011,2013/9/25,career change,Voluntarily Terminated,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Website,Fully Meets,Bachelor,1,2.08,2.18,No,,,,Neither Mentor nor Mentee,2.76 ,99,No
"LeBlanc, Brandon  R",1102024115,1984/6/10,Male,01/05/2016,,N/A - still employed,Active,Admin Offices,Shared Services Manager,Janet King,Social Media,Fully Meets,Master,4,2.93,4.40,Yes,3,3,No,Both Mentor and Mentee,3.36 ,104,Yes
"Quinn, Sean",1206043417,1984/11/6,Male,02/21/2011,2015/8/15,career change,Voluntarily Terminated,Admin Offices,Shared Services Manager,Janet King,Social Media,Fully Meets,Master,4,3.00,3.15,No,,,,Neither Mentor nor Mentee,2.78 ,154,Yes
"Boutwell, Bonalyn",1307060188,1987/4/4,Female,02/16/2015,,N/A - still employed,Active,Admin Offices,Sr. Accountant,Brandon R. LeBlanc,Job Fair,N/A- too early to review,Bachelor,3,,,,,,,Mentee,,90,No
"Foster-Baker, Amy",1201031308,1979/4/16,Female,01/05/2009,,N/A - still employed,Active,Admin Offices,Sr. Accountant,Board of Directors,Social Media,Fully Meets,Bachelor,3,2.76,2.90,No,,,,Mentee,3.68 ,89,No
