Employee Number,username,email,raw_password,Employee Name,Age,Department,Position,Employment Status,Manager Name
1103024456,1103024456,mia.brown@company.com,31GPgqjbRL,"Brown, Mia",40.4,Admin Offices,Accountant I,Active,Brandon R. LeBlanc
1106026572,1106026572,william.larotonda@company.com,sL2aLedP0o,"LaRotonda, William  ",41.9,Admin Offices,Accountant I,Active,Brandon R. LeBlanc
1302053333,1302053333,tyrone.steans@company.com,XtO0CBV$uq,"Steans, Tyrone  ",39.6,Admin Offices,Accountant I,Active,Brandon R. LeBlanc
1211050782,1211050782,estelle.howard@company.com,7ZL$vKb!wd,"Howard, Estelle",40.5,Admin Offices,Administrative Assistant,Active,Brandon R. LeBlanc
1307059817,1307059817,nan.singh@company.com,KMs&CfF@ul,"Singh, Nan ",37.9,Admin Offices,Administrative Assistant,Active,Brandon R. LeBlanc
711007713,711007713,leigh ann.smith@company.com,m4qbPX%eFH,"Smith, Leigh Ann",38.8,Admin Offices,Administrative Assistant,Voluntarily Terminated,Brandon R. LeBlanc
1102024115,1102024115,brandon  r.leblanc@company.com,T390pgSo3x,"LeBlanc, Brandon  R",41.8,Admin Offices,Shared Services Manager,Active,Janet King
1206043417,1206043417,sean.quinn@company.com,^zOQbk#j0T,"Quinn, Sean",41.4,Admin Offices,Shared Services Manager,Voluntarily Terminated,Janet King
1307060188,1307060188,bonalyn.boutwell@company.com,sESLN2eMH3,"Boutwell, Bonalyn",39.0,Admin Offices,Sr. Accountant,Active,Brandon R. LeBlanc
1201031308,1201031308,amy.foster-baker@company.com,x5jB!nhF1N,"Foster-Baker, Amy",47.0,Admin Offices,Sr. Accountant,Active,Board of Directors
1001495124,1001495124,janet.king@company.com,F^QdHxZeHG,"King, Janet",71.5,Executive Office,President & CEO,Active,Board of Directors
1112030816,1112030816,jennifer.zamora@company.com,e19hs8U1Mg,"Zamora, Jennifer",46.6,IT/IS,CIO,Active,Janet King
1102024056,1102024056,renee.becker@company.com,VPaSl^GKpx,"Becker, Renee",40.0,IT/IS,Database Administrator,Terminated for Cause,Simon Roup
905013738,905013738,taisha.goble@company.com,7!t&FHQP0Y,"Goble, Taisha",54.4,IT/IS,Database Administrator,Terminated for Cause,Simon Roup
1410071156,1410071156,daniff.hernandez@company.com,pkuOjUFFlY,"Hernandez, Daniff",39.7,IT/IS,,Terminated for Cause,Simon Roup
1105025718,1105025718,jayne.horton@company.com,Jbz!9ZCLAk,"Horton, Jayne",42.1,IT/IS,Database Administrator,Active,Simon Roup
1003018246,1003018246,noelle.johnson@company.com,mrGdW5sC6t,"Johnson, Noelle ",39.4,IT/IS,Database Administrator,Active,Simon Roup
1406068403,1406068403,thomas.murray@company.com,ZmIXsh!0lD,"Murray, Thomas",37.7,IT/IS,Database Administrator,Active,Simon Roup
1102023965,1102023965,randall.pearson@company.com,FZVT$XhnE0,"Pearson, Randall",41.6,IT/IS,Database Administrator,Voluntarily Terminated,Simon Roup
1108027853,1108027853,thelma.petrowsky@company.com,$13Iu1bR3g,"Petrowsky, Thelma",41.5,IT/IS,Database Administrator,Active,Simon Roup
1407068885,1407068885,lori.roby@company.com,Hs4cdm1Rpf,"Roby, Lori ",44.5,IT/IS,Database Administrator,Active,Simon Roup
1203032255,1203032255,ivan.rogers@company.com,dXFTdAAA6I,"Rogers, Ivan",39.6,IT/IS,Database Administrator,Active,Simon Roup
1111030148,1111030148,jason.salter@company.com,*yCcYV5WHs,"Salter, Jason",38.3,IT/IS,Database Administrator,Voluntarily Terminated,Simon Roup
808010278,808010278,kramer.simard@company.com,i7DmuxbHLE,"Simard, Kramer",56.2,IT/IS,Database Administrator,Active,Simon Roup
1110029732,1110029732,julia.zhou@company.com,N5S0hwo2V6,"Zhou, Julia",47.1,IT/IS,Database Administrator,Active,Simon Roup
1192991000,1192991000,jason.foss@company.com,6Vvdc#j&5*,"Foss, Jason",45.7,IT/IS,IT Director,Active,Jennifer Zamora
1106026933,1106026933,simon.roup@company.com,fp$M35367Y,"Roup,Simon",53.0,IT/IS,IT Manager,Active,Jennifer Zamora
1001175250,1001175250,ricardo.ruiz@company.com,qRNUCw5fO8,"Ruiz, Ricardo",62.2,IT/IS,IT Manager,Voluntarily Terminated,Jennifer Zamora
1011022863,1011022863,peter.monroe@company.com,BSuEou6cTs,"Monroe, Peter",39.5,IT/IS,IT Manager,Active,Jennifer Zamora
1101023754,1101023754,eric.dougall@company.com,kDA#PRoYA4,"Dougall, Eric",55.7,IT/IS,IT Manager,Active,Jennifer Zamora
1301052902,1301052902,rick.clayton@company.com,vI7SeW3O!*,"Clayton, Rick",40.6,IT/IS,IT Support,Active,Eric Dougall
1501072093,1501072093,lisa.galia@company.com,Q8HnT12ooY,"Galia, Lisa",57.7,IT/IS,IT Support,Active,Eric Dougall
602000312,602000312,leonara.lindsay@company.com,p@E9%QlK!7,"Lindsay, Leonara ",37.5,IT/IS,IT Support,Active,Eric Dougall
1203032263,1203032263,julia.soto@company.com,tAad%ktoxD,"Soto, Julia ",53.1,IT/IS,IT Support,Active,Eric Dougall
1212052023,1212052023,alejandro.bacong@company.com,*#hnGhgto0,"Bacong, Alejandro ",38.2,IT/IS,Network Engineer,Active,Peter Monroe
1102024173,1102024173,anthony.cisco@company.com,LfwZ$rEwg6,"Cisco, Anthony",36.4,IT/IS,Network Engineer,Active,Peter Monroe
1101023540,1101023540,linda.dolan@company.com,cxyjzZIUYf,"Dolan, Linda",37.7,IT/IS,Network Engineer,Active,Peter Monroe
1988299991,1988299991,maria.gonzalez@company.com,hhidqP8%GX,"Gonzalez, Maria",45.0,IT/IS,Network Engineer,Active,Peter Monroe
1012023013,1012023013,carlos.merlos@company.com,I9%nIEgwGV,"Merlos, Carlos",38.8,IT/IS,Network Engineer,Active,Peter Monroe
1001956578,1001956578,tanya.morway@company.com,J5myrWjBGL,"Morway, Tanya",47.0,IT/IS,Network Engineer,Active,Peter Monroe
906014183,906014183,anita.shepard@company.com,hyviv&j2H3,"Shepard, Anita ",45.0,IT/IS,Network Engineer,Active,Peter Monroe
1104025466,1104025466,neville.tredinnick@company.com,3r9hDw%jf1,"Tredinnick, Neville ",37.9,IT/IS,Network Engineer,Voluntarily Terminated,Peter Monroe
1411071506,1411071506,jumil.turpin@company.com,Sm%SS8^xxI,"Turpin, Jumil",57.0,IT/IS,Network Engineer,Active,Peter Monroe
1307060199,1307060199,karthikeyan.ait sidi@company.com,$DcoNvSsGR,"Ait Sidi, Karthikeyan   ",50.9,IT/IS,Sr. DBA,Terminated for Cause,Simon Roup
1010022337,1010022337,claudia  n.carr@company.com,p@5KUCmhXq,"Carr, Claudia  N",39.8,IT/IS,Sr. DBA,Active,Simon Roup
1412071562,1412071562,donald.favis@company.com,Hyq^I#VDBp,"Favis, Donald  ",61.7,IT/IS,Sr. DBA,Terminated for Cause,Simon Roup
1111030266,1111030266,bianca.roehrich@company.com,6Raog%Jb8E,"Roehrich, Bianca",52.9,IT/IS,Sr. DBA,Voluntarily Terminated,Simon Roup
1411071312,1411071312,ann.daniele@company.com,iHb%XEQich,"Daniele, Ann  ",74.2,IT/IS,Sr. Network Engineer,Active,Peter Monroe
1108028108,1108028108,jyoti.lajiri@company.com,hkPB!9^Ex&,"Lajiri,  Jyoti",39.9,IT/IS,Sr. Network Engineer,Active,Peter Monroe
904013591,904013591,jeremiah.semizoglou@company.com,O%QtHSYNPC,"Semizoglou, Jeremiah  ",43.1,IT/IS,Sr. Network Engineer,Active,Peter Monroe
1308060959,1308060959,joe.south@company.com,HYK4vHIRy^,"South, Joe",60.6,IT/IS,Sr. Network Engineer,Active,Peter Monroe
1301052347,1301052347,sarah.warfield@company.com,Mk&879pRoa,"Warfield, Sarah",47.9,IT/IS,Sr. Network Engineer,Active,Peter Monroe
1006020066,1006020066,elisa.bramante@company.com,kiugYmizVr,"Bramante, Elisa",43.0,Production       ,Director of Operations,Active,Janet King
1501072311,1501072311,michael.albert@company.com,^eAUtV07fX,"Albert, Michael  ",57.5,Production       ,Production Manager,Active,Janet King
1303054580,1303054580,charles.bozzi@company.com,aJS!eaGjbi,"Bozzi, Charles",56.1,Production       ,Production Manager,Voluntarily Terminated,Janet King
1110029990,1110029990,webster  l.butler@company.com,X&&g1fXMtt,"Butler, Webster  L",42.7,Production       ,Production Manager,Active,Janet King
1409070147,1409070147,amy.dunn@company.com,Z#6Gcb1K6@,"Dunn, Amy  ",52.3,Production       ,Production Manager,Active,Janet King
1307060077,1307060077,elijiah.gray@company.com,1Y#0IFNmBy,"Gray, Elijiah  ",44.7,Production       ,Production Manager,Active,Janet King
1001944783,1001944783,jonathan.hogland@company.com,j!BrbUIOG2,"Hogland, Jonathan ",53.8,Production       ,Production Manager,Terminated for Cause,Janet King
1403065874,1403065874,walter.immediato@company.com,GpREgHi87*,"Immediato, Walter",49.4,Production       ,Production Manager,Voluntarily Terminated,Janet King
1103024679,1103024679,ketsia.liebig@company.com,gCpOaqMA#T,"Liebig, Ketsia",44.4,Production       ,Production Manager,Active,Janet King
1107027351,1107027351,brannon.miller@company.com,W@9r09x6Sp,"Miller, Brannon",44.6,Production       ,Production Manager,Active,Janet King
1402065355,1402065355,ebonee.peterson@company.com,aPMajyHVgU,"Peterson, Ebonee  ",48.9,Production       ,Production Manager,Voluntarily Terminated,Janet King
1102024149,1102024149,kelley.spirea@company.com,B1#%oXn9vt,"Spirea, Kelley",50.5,Production       ,Production Manager,Active,Janet King
1000974650,1000974650,david.stanley@company.com,Cgs1trK5hR,"Stanley, David ",50.3,Production       ,Production Manager,Active,Janet King
1405067298,1405067298,kissy.sullivan@company.com,HwdfujsNiL,"Sullivan, Kissy ",48.0,Production       ,Production Manager,Active,Janet King
1410071026,1410071026,courtney  e.wallace@company.com,Es7zq0!CPo,"Wallace, Courtney  E",70.4,Production       ,Production Manager,Voluntarily Terminated,Janet King
1409070522,1409070522,wilson  k.adinolfi@company.com,0pa6dq3M7M,"Adinolfi, Wilson  K",42.7,Production       ,Production Technician I,Active,Michael Albert
1011022883,1011022883,trina.alagbe@company.com,C2^k0w5PR5,"Alagbe,Trina",37.5,Production       ,Production Technician I,Active,Elijiah Gray
1001417624,1001417624,carol.anderson@company.com,DfDdD01*qT,"Anderson, Carol ",36.6,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1304055947,1304055947,linda.anderson@company.com,8atmGycnaS,"Anderson, Linda  ",48.9,Production       ,Production Technician I,Active,Amy Dunn
1301052124,1301052124,sam.athwal@company.com,5*k2dC38Ma,"Athwal, Sam",43.1,Production       ,Production Technician I,Active,Ketsia Liebig
1212051409,1212051409,linda.bachiochi@company.com,X&IGkKzHDg,"Bachiochi, Linda",56.1,Production       ,Production Technician I,Active,Brannon Miller
1307060083,1307060083,rachael.baczenski@company.com,*JpmOVg3@P,"Baczenski, Rachael  ",52.2,Production       ,Production Technician I,Terminated for Cause,David Stanley
1312063507,1312063507,thomas.barbara@company.com,d@16psNQFM,"Barbara, Thomas",52.1,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1101023679,1101023679,francesco  a.barone@company.com,tFO994^4GB,"Barone, Francesco  A",42.7,Production       ,Production Technician I,Active,Kelley Spirea
1212051962,1212051962,nader.barton@company.com,hfFjCUQyng,"Barton, Nader",48.7,Production       ,Production Technician I,Voluntarily Terminated,Michael Albert
1403066194,1403066194,courtney.beatrice@company.com,EU4WTx6*TZ,"Beatrice, Courtney ",55.4,Production       ,Production Technician I,Active,Elijiah Gray
1110029777,1110029777,scott.becker@company.com,F1FhFhd1d!,"Becker, Scott",47.0,Production       ,Production Technician I,Active,Webster Butler
1109029366,1109029366,sean.bernstein@company.com,xtbXjNJQs!,"Bernstein, Sean",55.3,Production       ,Production Technician I,Active,Amy Dunn
1412071844,1412071844,lowan  m.biden@company.com,UkwOgFYQMO,"Biden, Lowan  M",67.3,Production       ,Production Technician I,Active,Ketsia Liebig
1308060366,1308060366,helen.billis@company.com,EXhFfx5hs!,"Billis, Helen",36.6,Production       ,Production Technician I,Active,Brannon Miller
1406068293,1406068293,donna.brill@company.com,SzaFi$*$F*,"Brill, Donna",35.6,Production       ,Production Technician I,Voluntarily Terminated,David Stanley
1408069635,1408069635,josephine.bugali@company.com,!7jI5ySy8s,"Bugali, Josephine ",56.4,Production       ,Production Technician I,Active,Kissy Sullivan
1311063114,1311063114,michael.carey@company.com,FU$anqRsvF,"Carey, Michael  ",43.2,Production       ,Production Technician I,Active,Kelley Spirea
1208048062,1208048062,beatrice.chace@company.com,hGKeOkVC@j,"Chace, Beatrice ",75.3,Production       ,Production Technician I,Active,Michael Albert
1305057282,1305057282,lin.chan@company.com,a#lJ53yUQ1,"Chan, Lin",47.1,Production       ,Production Technician I,Active,Elijiah Gray
1111030129,1111030129,donovan  e.chang@company.com,B!V3uKL2p%,"Chang, Donovan  E",42.6,Production       ,Production Technician I,Active,Webster Butler
1101023394,1101023394,enola.chivukula@company.com,h9Lhzzx8@V,"Chivukula, Enola",42.6,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1012023295,1012023295,caroline.cierpiszewski@company.com,QqnY4YGX8C,"Cierpiszewski, Caroline  ",37.8,Production       ,Production Technician I,Active,Ketsia Liebig
1407069280,1407069280,elijian.clukey@company.com,9wR%T6Rfx6,"Clukey, Elijian",45.6,Production       ,Production Technician I,Active,Brannon Miller
1599991009,1599991009,james.cockel@company.com,Yy&LMr*Lf7,"Cockel, James",48.6,Production       ,Production Technician I,Active,David Stanley
1001450968,1001450968,spencer.cole@company.com,oODT!gag$W,"Cole, Spencer",46.6,Production       ,Production Technician I,Terminated for Cause,Kissy Sullivan
1403066069,1403066069,lisa.cornett@company.com,VpUyG3Idm!,"Cornett, Lisa ",49.0,Production       ,Production Technician I,Active,Kelley Spirea
1311063172,1311063172,jean.crimmings@company.com,dRgHYaxABw,"Crimmings,   Jean",39.0,Production       ,Production Technician I,Active,Michael Albert
